mark_id,ssl_rotation
cc1b4f8d,0.9336174031098684
74daa6bc,0.8857671221097311
da21345a,0.9073234697182974
5eb93bfb,0.9097740054130554
6fb31fd9,0.9005391498406728
bfda4d8c,0.8861360748608907
65483568,0.9212636020448471
56fc6c2c,0.8940720657507578
def16655,0.8739146292209625
44083dd9,0.9186937510967255
c5ecee5e,0.8900014956792196
e546a875,0.891896203160286
2f20d3a1,0.9330840706825256
876ea58f,0.8950071036815643
279dfcf6,0.9078921476999918
eb4fb780,0.8520525329642826
2c540106,0.9180485109488169
0df16b47,0.8932388226191202
4ad00dc6,0.9149038990338644
7d02e970,0.9059865938292608
052f6cbf,0.8868925240304736
82b164ee,0.8937747379144033
52dde58d,0.8564169605573019
25158acc,0.9197140634059906
51279521,0.9320629437764486
851562cc,0.9114251401689318
fc9f3862,0.9130814572175344
42081c0a,0.9015864837860716
0d9931f9,0.8543392221132914
b5ee90fa,0.9159255723158518
fc2c1256,0.9338559806346893
8cd23341,0.8675747215747833
3ae80d8f,0.8987915813922882
a631a589,0.8937388261159261
fbbea505,0.9571674863497416
8a50492e,0.8599129782782661
5fc3bdd0,0.9045524299144745
be3c30be,0.8821519811948141
9f8c5989,0.9552385022585419
1fb869a8,0.9035131732622782
e8479688,0.87296595176061
dd7507a8,0.9282766083876292
399900d0,0.857821856935819
7405c59b,0.8693110843499501
d3cb0315,0.8894769516256119
c7cba12c,0.8791421602169672
4953469d,0.8867267767588297
c04ede76,0.8793581972519557
3326706,0.9229082763195038
9cb98eac,0.8983677645524344
9dfb2aab,0.8873558425241046
260c3fd9,0.907922774553299
07457eee,0.9161185721556345
d275b34a,0.8770038386185964
2074e1b9,0.8465432325998943
9fe5ead5,0.9119557539621989
387f4fea,0.9373605251312256
6e715430,0.8948773741722107
61d6491f,0.901626298824946
4e893a5e,0.8900606234868368
9d10b1bd,0.8580968851844469
9d4d2704,0.9203027288118998
db540509,0.8600683559974035
53637a02,0.8678695559501648
08b6982e,0.8876681129137676
3d653048,0.8992472589015961
649e2ef8,0.8564626475175222
df275b9c,0.8822333415349325
ef5b62cc,0.9119401574134827
83da03bd,0.9103757540384928
a3f34a8a,0.9024656017621359
97921a0b,0.8696784277757009
feef922c,0.8622779627641043
0a3c6fee,0.8963573127985001
c9116e4b,0.8809306720892588
5072d3ef,0.8714585105578104
aa9afe00,0.9160521030426025
1d3372f3,0.8882090449333191
0a762ad7,0.8944880366325378
b1921b71,0.9727394580841064
59e58333,0.8682647446791331
5294b143,0.9032971759637197
2b957a91,0.8634497125943502
50273494,0.889475425084432
1be76f98,0.8176151514053345
46612b80,0.8983749374747276
e99b3cbe,0.9058590531349182
ac206f87,0.9231569518645605
a50499af,0.9192519312103589
c110e444,0.9055119521088071
98304aa3,0.8485478758811951
5805a1ad,0.9748296936353048
9627ab64,0.8908455073833466
667270ea,0.890583410859108
feb9aef1,0.9349759221076965
dc5fb21c,0.9079195658365885
884a5030,0.884873989555571
92116086,0.9705895781517029
f74a6522,0.8808746139208475
e084a23b,0.9081961413224539
0bead55a,0.8902062475681305
41665530,0.863183899058236
66ffc03e,0.9051871531539493
ce827264,0.8847291767597198
499c2d4e,0.8510938162604967
cf98cd54,0.879319535361396
f930aabf,0.886254961291949
b033c325,0.8540038267771403
ecaf61c6,0.941760410865148
99d1720c,0.8799949189027151
3b72d08a,0.9165491461753845
e1b03824,0.8861395120620728
02c3f91c,0.9183425307273865
ebfe359a,0.9055067996184031
3fce2a84,0.9577209303776423
d6abd613,0.9093658626079559
b01ad92b,0.8737282007932663
4131e26a,0.8608744144439697
b7d6104b,0.9632825156052908
37642ad4,0.8809007108211517
aff436b7,0.8944400913185544
46eea183,0.8950623671213787
ee8b7d4f,0.8891302355461651
9b4edf91,0.8702764312426249
c13a60b4,0.9268038968245188
b405b179,0.9187847077846527
0c8645dc,0.9143152783314387
a5299e43,0.9252248704433441
239458dc,0.8617472648620605
921d7080,0.8772950569788615
333a9863,0.8407101035118103
532cfe23,0.929392546415329
7b0892b1,0.8792246580123901
dc34c956,0.9025222659111023
9618b42c,0.9337661266326904
e6f61670,0.9106090664863586
f11f14e4,0.9112487286329269
dd3f7ee0,0.8878225187460581
cf17bfd1,0.8792869051297506
107e63aa,0.9010120630264282
3a92c71c,0.9143388768037161
feeefbaf,0.8981981178124746
a6535d8e,0.9785023033618927
62960577,0.8510569433371226
f8303a81,0.877840828564432
ec575bbf,0.8646553307771683
bc928e52,0.9033418678575091
5f97be78,0.8345959484577179
e59ca525,0.917065809170405
92aa4463,0.9764182368914286
b14af922,0.926167756319046
bdb22894,0.8772662455836931
ab981ce7,0.8697856465975443
f561974a,0.8839317195945315
f1835f81,0.9347425699234009
ab535f6b,0.8614786068598429
8b917932,0.8964187701543173
99197ea5,0.9267737401856317
5a870cd4,0.9220899144808451
1ca5acae,0.8802657599250476
05f827bd,0.8947318891684214
1298bc1e,0.9711378415425619
4ba16293,0.8661618580420812
46e5204a,0.917340358098348
66b264aa,0.8727559248606364
cae9e2be,0.8884336385462018
6bb181d9,0.877243161201477
88ed1be9,0.9549722969532013
eca01b0f,0.8815180129475064
7e261a81,0.9398580292860667
bffb94bf,0.9351805249849955
682a49e0,0.8517231047153473
6cd515a4,0.8827344477176666
b32eadc6,0.8892202029625574
b282fc6b,0.9091605643431345
79119137,0.8647750914096832
b04ada02,0.9580393532911936
bd16e3db,0.8696836829185486
39b2a820,0.9017246961593628
a7c24f92,0.8861584266026815
a9ec9da0,0.9105396899912092
0128c6f7,0.8947786241769792
e5f86389,0.9056615730126699
d1732fd0,0.8957391281922659
55d98f56,0.8959714505407544
7ddc52f6,0.8969891369342804
0b038f2c,0.8849309384822845
d0a6a147,0.9072655836741129
4ba9267f,0.8738986427585285
eb19a49c,0.8602592349052429
62745a75,0.8845462501049042
9bb57ad9,0.8744001090526581
06c8e046,0.88807855380906
647e7e4d,0.864732563495636
9.71E+14,0.8890176912148794
167b5b60,0.8797973891099294
d365e8bf,0.8734116156895956
90aa8b0d,0.8838949700196584
b42270b6,0.8961533904075623
252719d6,0.8820229669411978
ecb931a3,0.9035285313924154
d50c929b,0.8111175696055094
7a87e7c4,0.9092272106144162
131d8ea1,0.8771742979685465
5121c83f,0.9006816347440084
bd25904c,0.9137582381566366
e6d500be,0.8860799074172974
41708f2f,0.9098651011784871
