mark_id,ssl_domain,fewshot_acc,pearson_r,pearson_p
d1732fd0,0.9064366817474364,1.0,0.03483793511330221,0.4360698771580772
fbbea505,0.941147804260254,0.9,0.03483793511330221,0.4360698771580772
99d1720c,0.8377264738082886,1.0,0.03483793511330221,0.4360698771580772
868cd3d2,0.9189480543136596,0.8,0.03483793511330221,0.4360698771580772
6cd515a4,0.9725634455680848,0.7333333333333333,0.03483793511330221,0.4360698771580772
0e4d858a,0.8830075860023499,0.85,0.03483793511330221,0.4360698771580772
7cc4b87a,0.8203988075256348,1.0,0.03483793511330221,0.4360698771580772
d11cb501,0.8929229974746704,0.9,0.03483793511330221,0.4360698771580772
313072c9,0.864240288734436,0.85,0.03483793511330221,0.4360698771580772
4f023f8a,0.8720303773880005,1.0,0.03483793511330221,0.4360698771580772
4302e627,0.8937014937400818,0.8,0.03483793511330221,0.4360698771580772
46eea183,0.9410039782524108,0.8,0.03483793511330221,0.4360698771580772
973b4356,0.9114401936531068,0.6,0.03483793511330221,0.4360698771580772
95ee6935,0.9091092944145204,1.0,0.03483793511330221,0.4360698771580772
55d98f56,0.9028385281562804,0.9,0.03483793511330221,0.4360698771580772
d9087961,0.925794780254364,0.8,0.03483793511330221,0.4360698771580772
a25f1929,0.9215350151062012,0.8666666666666667,0.03483793511330221,0.4360698771580772
d7c35b65,0.8430503606796265,1.0,0.03483793511330221,0.4360698771580772
b2e3bf5d,0.9559563994407654,1.0,0.03483793511330221,0.4360698771580772
8b917932,0.8936480283737183,1.0,0.03483793511330221,0.4360698771580772
63941dfc,0.9099198579788208,1.0,0.03483793511330221,0.4360698771580772
3a92c71c,0.9287242889404296,0.8,0.03483793511330221,0.4360698771580772
7ddc52f6,0.944995641708374,0.6,0.03483793511330221,0.4360698771580772
7b7945a9,0.8467943072319031,1.0,0.03483793511330221,0.4360698771580772
a8163d8d,0.9449007511138916,0.6,0.03483793511330221,0.4360698771580772
22764851,0.8387563228607178,1.0,0.03483793511330221,0.4360698771580772
40012278,0.8673379421234131,0.8,0.03483793511330221,0.4360698771580772
3b2ca53c,0.96454519033432,1.0,0.03483793511330221,0.4360698771580772
6c15634d,0.8531346321105957,0.7,0.03483793511330221,0.4360698771580772
17f325e8,0.9444951415061952,0.8666666666666667,0.03483793511330221,0.4360698771580772
6b356a06,0.8746758103370667,0.9,0.03483793511330221,0.4360698771580772
9d4d2704,0.9254544973373412,0.8,0.03483793511330221,0.4360698771580772
f6ca1ee8,0.9376664161682128,0.9,0.03483793511330221,0.4360698771580772
02c3f91c,0.8755314946174622,1.0,0.03483793511330221,0.4360698771580772
be4a67ec,0.9542661905288696,0.76,0.03483793511330221,0.4360698771580772
43abf22e,0.9654002785682678,0.8,0.03483793511330221,0.4360698771580772
aa9afe00,0.9249937534332277,0.8666666666666667,0.03483793511330221,0.4360698771580772
88ed1be9,0.9014292359352112,0.6,0.03483793511330221,0.4360698771580772
feb9aef1,0.926952302455902,1.0,0.03483793511330221,0.4360698771580772
5189cc6f,0.9252104759216307,1.0,0.03483793511330221,0.4360698771580772
