mark_id,ssl_domain
5217a426,0.9304310083389282
d1732fd0,0.9064366817474365
fbbea505,0.9411478042602539
8f06349c,0.9053654074668884
548150d8,0.8786234855651855
99d1720c,0.8377264738082886
fa85a6dc,0.9273030757904053
868cd3d2,0.9189480543136597
3c5a7493,0.941826581954956
6cd515a4,0.9725634455680847
0e4d858a,0.8830075860023499
7cc4b87a,0.8203988075256348
d11cb501,0.8929229974746704
313072c9,0.864240288734436
4f023f8a,0.8720303773880005
5e077cb0,0.954833984375
4302e627,0.8937014937400818
f95fee8c,0.915103554725647
852fe71b,0.9436596632003784
b42270b6,0.8879221081733704
76d09d40,0.7930232286453247
99d8475a,0.9615024924278259
d3d65bd4,0.9094546437263489
46eea183,0.9410039782524109
f79f1741,0.8755015134811401
456691cc,0.8795963525772095
073aa52d,0.8249582648277283
973b4356,0.9114401936531067
bdf27034,0.9211292266845703
cc4d4ade,0.9201613664627075
cdf0a2c1,0.9365531206130981
95ee6935,0.9091092944145203
42081c0a,0.9454715847969055
55d98f56,0.9028385281562805
159e5fbf,0.8504703640937805
6931e757,0.8683604001998901
f0c6cba8,0.9476560354232788
cef68bff,0.9012705683708191
d9087961,0.925794780254364
a25f1929,0.9215350151062012
d7c35b65,0.8430503606796265
b2e3bf5d,0.9559563994407654
de36b354,0.8196716904640198
3dff2052,0.9454492926597595
7fce84a1,0.8964375257492065
4dd73fc5,0.8892300724983215
bfbb37d6,0.9218121767044067
32a58066,0.8953009247779846
8b917932,0.8936480283737183
bdf9b2fd,0.9154086709022522
63941dfc,0.9099198579788208
0c8645dc,0.8983688950538635
5d7ad656,0.8749955296516418
25158acc,0.9271198511123657
cb62c772,0.8221895694732666
3a92c71c,0.9287242889404297
d675eca3,0.9269353151321411
744ab6ca,0.9115545749664307
7ddc52f6,0.944995641708374
70715ea3,0.9447813034057617
7b7945a9,0.8467943072319031
a8163d8d,0.9449007511138916
22764851,0.8387563228607178
cc1b4f8d,0.9184314012527466
40012278,0.8673379421234131
a85b8e09,0.8933172225952148
3b2ca53c,0.9645451903343201
6c15634d,0.8531346321105957
051125d5,0.8844149112701416
17f325e8,0.9444951415061951
1d069774,0.9158526062965393
68e8eff0,0.8941295146942139
0ee8d63c,0.8923280835151672
6b356a06,0.8746758103370667
7bffeba7,0.8025871515274048
9d4d2704,0.9254544973373413
86b78068,0.9606946706771851
f6ca1ee8,0.9376664161682129
02c3f91c,0.8755314946174622
66ffc03e,0.8911696672439575
be4a67ec,0.9542661905288696
5294b143,0.9443143606185913
ba13d2e7,0.8790210485458374
43abf22e,0.9654002785682678
31499347,0.8564469218254089
aa9afe00,0.9249937534332275
bdb22894,0.9539899826049805
5c13c0b1,0.8273082375526428
88ed1be9,0.9014292359352112
feb9aef1,0.9269523024559021
5189cc6f,0.9252104759216309
3a78f665,0.8935337066650391
e5ca8400,0.9386388063430786
dd7507a8,0.8777070641517639
b47712b6,0.8788594007492065
02781b13,0.922793447971344
a4352a48,0.8195669054985046
a74c204c,0.864786684513092
91e9e7e3,0.878297746181488
884a5030,0.9328370690345764
37642ad4,0.8767081499099731
ebe2f6ea,0.8654251098632812
a3981068,0.9056980609893799
3b3b7604,0.9325964450836182
4ad00dc6,0.8863720297813416
41708f2f,0.9061741232872009
f8303a81,0.9414583444595337
37f8cc92,0.7612341642379761
f3e2eef4,0.9047598242759705
68498a17,0.8654363751411438
e3df7356,0.8656851649284363
53637a02,0.8991835713386536
b693eacd,0.9515246152877808
0a762ad7,0.9137837886810303
dc21a571,0.9571581482887268
a631a589,0.8436892628669739
48a6890f,0.8296135663986206
82b164ee,0.8578813672065735
205ed65e,0.9497327208518982
7405c59b,0.9161106944084167
51279521,0.8549569845199585
05835cd7,0.889153003692627
03b98ed2,0.877197802066803
